,year,agency,tool_name,tool_desc_brief,tool_desc_detail,data,vendor,date_use,data_training,data_input,data_output,vendor_name,vendor_desc,identifying_info,updated,updated_desc,use_matching,use_speech_language_processing,use_computer_vision,use_optimization,use_other,use_predictive_modeling,use_crime_classification,pop_geographic_space,pop_FDNY_employees,pop_property,pop_individuals,pop_civilian_fatalities,pop_group_org_business,pop_other_species
0,2022,FDNY,RBIS (Risk Based Inspection Program); ALARM (A Learning Approach to Risk Modeling),"ALARM is a combined approach using machine learning and risk ratios to assess the risk of a building for structural fire ignition (probability) and civilian fire injury/death (impact). The machine learning algorithm takes incident data, housing characteristics, and 311 data and creates a probability of structural fire ignition. This is combined with a civilian injury or death risk ratio for the building which is based on building characteristics, incident data and nearby felony crimes to create a risk score (range is 1-9), with 1 being highest risk and 9 being lowest. Buildings are prioritized within each of the nine risk scores according to the residential population in each building.","ALARM creates risk scores for each building in the city. These scores are used to schedule our Fire Operations building inspections within the inspectable population of buildings in the City (~330,000 BINs), as a part of the Risk-Based Inspection Program.","Training data: In order to create the models, the team utilized a 5-year incident dataset and reserved 99% of the data to train the probability model and 80% of the data to train the impact model.

Input data: The ALARM risk score utilizes data from our fire and EMS dispatch system, building characteristic data, 311 calls, felony crimes, census data and civilian injury data.","ALARM was built in-house by a team of analysts from the Management, Analysis and Planning Bureau.",2019-11,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
1,2022,FDNY,EMS Hospital Suggestion Algorithm,"The algorithm computes a list of hospitals in order of closest to furthest in time for each medical condition category as currently established. (For example, there is a list of hospitals computed in order of closest in time for all hospitals that accept General Emergency Department patients and for all hospitals that accept special conditions, such as burns). Depending on the medical needs category of the patient, the algorithm produces a pre-determined list of hospitals which is based on the location of the patient and then made available to the crew as a list of ""closest, most appropriate hospitals.""","The EMS Hospital Suggestion Algorithm is used to determine the closest, appropriate hospital to the incident location based on the needs of a patient requiring transport.",Input data: The EMS Hospital Suggestion algorithm relies on telematics data from the Department of Citywide Administrative Services city-owned vehicles collected between 2015 and mid-2016 to calibrate a network analysis model that derives incident to hospital transport times. The order of suggested hospitals are then compared with five years of historical EMS hospital transport data from before the COVID-19 pandemic (2015-2019) to validate and correct the network model.,"This algorithm and the resulting output file that  is used in our EMS CAD system to suggest hospitals was provided by a vendor, until September 2020. The Department currently creates this file using a new algorithm, developed in-house by the Bureau of Management Analysis and Planning in conjunction with engineers from Columbia University.",2007-03,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
2,2022,FDNY,EMS Unit Suggestion Algorithm,"The algorithm computes a list of geographic atoms in order of closest to furthest in time for each atom in the city. This list of ordered atoms is the output of an algorithm that relies on a calibrated network model to derive travel time estimates. The output is an excel file which is converted into an EMSCAD-compatible file and loaded into the system for real-time unit selection capabilities. The file is generated and implemented as a 24/7 source file, meaning, the recommended search order is not currently varying by time of day. The Department is intending to implement time-of day search orders in the near future.",The EMS Unit Suggestion Algorithm is used to determine which order of geographic regions (known as atoms) to search in order for the EMSCAD system to select an appropriate EMS unit for dispatch to an incident.,Input data:  The EMS Unit Suggestion algorithm relies on historical FDNY CAD trip time data which is used to calibrate a network analysis model which derives atom-to-atom transport times.,"This algorithm and the resulting output file that  is used in our EMS CAD system to suggest atom order for unit search is currently provided by a vendor, Deccan International.",2007-03,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
3,2022,FDNY,EMS Hospital Load Balancing Algorithm,"The algorithm requires three data inputs: the estimated travel time from any ATOM to any hospital, the number of available beds for every hospital and the estimated number of transports that will occur the following day at every hospital.  The algorithm first determines if any hospital is expected to receive more patients than available beds.  If overload is expected, the algorithm reallocates the necessary ATOMs such that no hospital is overloaded, and the reallocation of any ATOM is done so with minimal additional travel time.  The optimized output - known as a pattern - is directly input into the EMS CAD system for use in the following day.","The hospital load balancing algorithm is designed to optimize hospital transports in a way that proactively avoids hospitals from being congested with too many patients, while at the same time minimize the total travel times as much as possible.  The outputs of the algorithm are used in the EMS Computer Aided Dispatch (EMS CAD) system to provide EMS crews with an optimal hospital to transport patients.","Training data:  This is an optimization model and was not ""trained"".

Input data:  There are three input data sources. First is an ATOM-to-hospital travel time matrix. This matrix is computed by FDNY based on historical travel time information. Second, the algorithm consumes hospital bed availability data from the HERDS dataset generated by the New York State Department of Health and provided by NYC DOHMH. Finally, we estimate the number of transports that will occur at each hospital for the next day by using historical data and computing a 3-day moving average.",The tool was developed internally at FDNY in partnership with Columbia University's Industrial Engineering and Operations Research Department.,2021-01,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
4,2022,FDNY,EMS Ambulance Scheduling Tool,"The tool requires the average number of medical emergencies per hour by dispatch area and the ambulance schedule of each dispatch area. Based on this information, the algorithm will optimize tour start times to maximize the minimum difference between the supply of ambulances and the demand for an ambulance.",The purpose of the tool is to match the supply of EMS ambulances to the demand for ambulances (medical emergencies) over a 24-hour period for each EMS dispatch area. The tool uses an existing ambulance schedule for each dispatch area and optimizes their start times in order to match the demand for an ambulance. The tool supports FDNY EMS in developing an ambulance schedule citywide.,"Training data: This is an optimization model and was not ""trained"". The model optimizes based on the hourly average number of incidents in a dispatch area.

Input data: There are two input data sources. First, the supply of ambulances which includes the start and end times of each ambulance tour in the city, as well as the starting location of the ambulance. The second input is the demand, which is the number of medical emergencies per hour per dispatch area.",The tool was developed internally at FDNY in partnership with Columbia University's Industrial Engineering and Operations Research Department.,2021-06,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
5,2022,FDNY,EMD Schedule Optimization Tool,"The algorithm requires two datasets.  First, the tool requires the average number of medical calls per hour for a 24-hour period.  Second, the tool requires a user to specify the number of call takers assigned to each tour. Based on these two inputs, the tool provides a projection of supply (call takers) versus demand (medical calls). Additionally, the tool can take the total number of available staff and optimally allocate them across tours to maximize the minimum difference between supply and demand. Based on these outputs, EMD officers can identify times during the day when call taker utilization is high and reallocate staff to accommodate.",The purpose of the tool is to provide Emergency Medical Dispatchers (EMD) staff a tool to optimally allocate call takers during a 24-hour period.  The tool uses an expected number of incoming calls and the number of personnel scheduled to work in order to allocate the call takers to different shifts such that the supply of call takers exceeds the demand for call takers.,"Training data: This is an optimization model and was not ""trained"" using training data. The algorithm relies on actual historical data to determine average hourly medical calls.

Input data: The tool requires an hourly count of medical calls arriving during a 24-hour period. Additional ""data"" requirements are input from the user depending on user-driven scenarios. For example, a user could specify five 8-hour tours per day (at different start times) rather than existing four tours (2 8-hour tours and 2 12-hour tours).",The tool was developed internally at FDNY in partnership with Columbia University's Industrial Engineering and Operations Research Department.,2021-06,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
6,2022,ACS,Severe Harm Predictive model,"Predictions of Severe Harm (identifying likelihood of substantiated allegations of physical or sex abuse within the next 24 months) are based on Machine Learning methodology and are calculated for all children involved in active investigations early in the investigation (day 10). An investigation is assigned a numeric likelihood of this outcome based on the child in the case with the highest likelihood. The ACS Quality Assurance unit in the Division of Child Protection reviews about 3,000 active investigations annually, selecting those with the highest likelihood of severe harm. If the Quality Assurance review team identifies gaps in routine, required documentation or practice, the team speaks with the field office conducting the investigation and follows up to make certain these gaps have been addressed. No staff in Quality Assurance unit or in the investigative unit sees the scores. The model only supports the decision about which investigations are prioritized for review by the Quality Assurance unit.","The Quality Assurance Unit in the Division of Child Protection at ACS has the capacity to review about 3,000 investigation cases out of about 50,000 investigations annually. ACS developed this predictive model to support the selection of cases for Quality Assurance review. Open investigations involving children with the greatest likelihood to experience future severe harm -- substantiated allegations of physical or sex abuse in the following 24 months -- are selected for review. The tool does not support decisions about services or interventions for individuals or families involved with ACS, beyond the selection of the case for this additional Quality Assurance review.","Training data:  ACS trained the model on ACS historic administrative data about closed investigations from January 2013 to March 2014. Training set included about 119,668 observations. The model was tested on closed investigations from April 2014 to December 2014 with 82,331 observations. 

Input data:  Predictions are based on administrative data about prior and current child welfare involvement including investigations triggered by a New York State Central Register (SCR) call and time spent in foster care. Only ACS administrative data are used in the model.",,2018-05,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
7,2022,ACS,Repeat Maltreatment (RM) model,Predictions of Repeat Maltreatment (identifying the likelihood of being involved in a future indicated investigation within the next 24 months) are based on Machine Learning methodology and are calculated for all children receiving prevention services from ACS prevention service providers. The prediction is made with the assumption that the case is closed the day the model is run.  A prevention case is assigned a numeric likelihood of an indicated investigation based on a New York State Central Register (SCR) within 24 months from the end of a prevention service. This model was formerly known as the Service Terminaton Conference (STC) model and was used by Preventive Services managers to identify whether or not a case should have ACS or provider-agency facilitation at service termination conference.,"The RM model was initially used to prioritize ACS facilitation of prevention termination conferences, so that ACS could be certain that services had been provided in these cases. When a family is ready to exit ACS prevention services, an end of services conference is required (known as a ""Service Termination Conference""). However, Service Termination Conferences are generally no longer facilitated by ACS and this prioritization is no longer necessary.

The RM model is also used to group prevention providers into quartiles to assess their performance in comparison to others in the same quartile, based on the service-need/risk levels of the families they've served during the previous year. This is a retrospective analysis for performance management.","Training data:  ACS trained the model on ACS historic administrative data about closed investigations from July 2009 to December 2015. Training set included about 136,982 observations. The model was tested on closed investigations from January 2016 to December 2017 with 48,771 observations. 

Input data:  Predictions are based on administrative data about prior and current child welfare involvement including SCR investigations and time spent in foster care. Only ACS administrative data are used in the model.",,2017-07,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
8,2022,DCWP,Route Automation,"Inspection Supervisor selects an inspector, enters a date and the number of businesses to be inspected, and the geographic area to be considered.  The system identifies businesses in the selected area and assigns them to the route based on inspection priority until the number of businesses entered has been reached.  Then the tool runs a Simulated Annealing Algorithm to optimize the order businesses appear on the route based on proximity and method of travel.","DCWP inspectors conduct inspections based on a route, or list of businesses to be inspected on a specific day, which must be pre-approved by their supervisor.  The Route Automation tool generates a route for an inspector on a specific date based on configuration variables and geographic area.  All routes generated by the tool still require supervisor review and approval.","Training data:  The tool is not trained in an AI or Machine Learning sense.

The tool makes decisions based on configuration tables, businesses and their licenses and inspection and violation history, and uses a Simulated Annealing Algorithm to optimize the order in which businesses appear on a route.  

Input data:  Inspection date, business category and address, licenses held (if any), last inspection date and type, violation history (if any), date of inspection request or license application/renewal (if applicable), Inspection Unit (of the inspector), and geographic area.","The tool was designed and built by PruTech, an outside vendor contracted to design and build DCWP's Automated Inspection Management System (AIMS) and its accompanying Mobile Enforcement platform.  The tool is part of the AIMS system.",2020-07,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
9,2022,DOC,Housing Unit Balancer (HUB),"The HUB is comprised of two functions: (1) a classification tool based on decision trees that determines an individual's propensity for violence, and (2) a housing area risk assessment, which utilizes advanced predictive analytics (i.e., neural networks) to determine optimal housing areas based on the classification scores of people in custody. The primary operational use of the HUB is for the classification score, which is used to track populations and optimize housing arrangements. The last day the department utilized the HUB system for classification purposes was January 31, 2022.",The Housing Unit Balancer (HUB) is used for informing housing decisions made by operational staff designed to produce less conflict in housing areas.,"Training data:
Classification function: The training set comprised of over 60,000 records of people in custody and was retrieved in 2014. The test set was comprised of over 4,000 people in custody. These sets were used to create and validate the ultimate solution for the classification scoring of people in custody. Housing Area Risk Assessment function: The training set was incident data for 24 months (01/13-01/15) and the test set was incident data for 6 months (01/15-06/15).

Input data:
Classification function: (1) past institutional conduct, (2) top criminal charge, (3) security risk group affiliation, (4) age, (5) Brad H indicator. Housing Area Risk Assessment function: composition levels of (1) people in custody, (2) security risk group members, (3) security risk groups, (4) housing types, (5) age, (6) length of stay, and (7) duration of stay in housing areas.",The tool was created by McKinsey & Company and implemented in 2017,2017-04,,,,,,Not Reported,Not Reported,,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported
